roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-479,male,group D,some college,0,0,30,78,59,C,60.5
std-480,male,group D,some high school,0,0,32,38,57,D,42.5
std-481,male,group B,some college,1,0,63,44,47,C,57.5
std-482,male,group B,high school,0,1,95,80,81,B,79
std-483,male,group D,some college,0,1,17,90,68,B,68
std-484,male,group C,bachelor's degree,0,0,46,37,71,C,57.25
std-485,male,group B,bachelor's degree,1,0,33,30,76,D,48.5
std-486,male,group B,some college,1,1,87,100,63,A,86.5
std-487,male,group D,some college,0,1,91,84,46,B,79.75
std-488,male,group D,some high school,0,0,40,75,86,B,63.5
std-489,male,group E,some college,1,0,49,79,34,C,55.25
std-490,male,group D,high school,1,0,23,69,59,C,50.5
std-491,male,group D,bachelor's degree,1,0,41,95,97,B,77.25
std-492,male,group D,high school,1,0,29,71,55,C,56.5
std-493,male,group B,associate's degree,1,1,32,69,39,D,41.25
std-494,male,group C,some high school,0,1,100,54,94,B,76.25
std-495,male,group C,some high school,0,0,46,85,56,C,58
std-496,male,group D,some college,0,0,18,44,83,C,53.75
std-497,male,group D,associate's degree,1,1,58,56,90,B,67.5
std-498,male,group C,high school,1,0,96,52,80,B,70
std-499,male,group A,some high school,0,1,34,66,91,B,69.25
std-500,male,group C,associate's degree,0,0,77,61,55,B,72
std-501,male,group C,some high school,0,0,32,75,35,D,49
std-502,male,group C,some high school,1,0,61,100,83,B,79
std-503,male,group C,some high school,1,1,85,62,96,A,85.75
std-504,male,group D,associate's degree,0,1,15,57,63,D,47
std-505,male,group A,some college,0,0,47,71,45,C,58.25
std-506,male,group C,bachelor's degree,0,0,76,84,80,A,81.5
std-507,male,group D,some high school,0,0,37,65,96,B,70
std-508,male,group B,high school,1,0,60,72,58,B,68.75
std-509,male,group C,high school,1,1,75,86,65,B,79.25
std-510,male,group C,some high school,1,0,50,23,80,D,49.25
std-511,male,group C,associate's degree,0,0,73,54,54,C,56.75
std-512,male,group B,high school,0,1,39,72,44,D,47.25
std-513,male,group C,some college,1,1,90,44,100,B,71.75
std-514,male,group C,associate's degree,0,0,20,71,93,C,60.5
std-515,male,group A,bachelor's degree,1,0,22,87,68,B,65.75
std-516,male,group C,associate's degree,1,1,44,75,100,B,78.25
std-517,male,group C,some college,0,0,61,98,53,B,68.75
std-518,male,group C,some college,0,0,79,42,48,C,53.75
std-519,male,group D,some college,1,1,48,79,84,B,76.5
std-520,male,group B,some high school,0,1,23,58,48,D,49.25
std-521,male,group D,some high school,1,0,40,62,62,C,61.75
std-522,male,group C,master's degree,0,0,63,54,80,B,66.5
std-523,male,group D,some college,1,0,39,77,75,B,68.5
std-524,male,group B,some college,1,1,72,82,81,B,78.75
std-525,male,group C,some college,1,0,83,87,60,B,70.75
std-526,male,group A,high school,1,0,38,67,51,C,50.75
std-527,male,group E,some high school,1,0,82,100,56,A,81.75
std-528,male,group B,bachelor's degree,1,0,73,80,69,C,61.25
std-529,male,group B,high school,0,1,67,,,B,66.75
std-530,male,group B,master's degree,0,0,71,54,57,B,64.75
std-531,male,group E,some college,1,0,,67,46,C,53
std-532,male,group B,associate's degree,0,,64,71,61,B,66.75
std-533,male,group D,bachelor's degree,,0,20,42,43,D,42.25
std-534,male,group C,,1,0,99,43,61,B,70
std-535,male,,associate's degree,1,0,25,56,30,C,52.75
std-536,,group C,associate's degree,0,1,14,98,85,B,71.75
std-537,male,group C,bachelor's degree,1,0,25,83,55,C,52
std-538,male,group C,some high school,1,1,47,78,89,B,65.5
std-539,male,group C,some high school,1,0,96,66,86,A,84.75
std-540,male,group C,bachelor's degree,0,0,31,73,82,C,60.75
std-541,male,group E,associate's degree,0,0,50,39,80,C,50.75
std-542,male,group D,high school,0,0,40,25,82,C,57.25
std-543,male,group C,master's degree,0,1,54,79,73,B,73
std-544,male,group C,master's degree,1,0,30,40,22,Fail,31.75
std-545,male,group E,some college,1,1,40,84,72,B,69.5
std-546,male,group B,bachelor's degree,0,0,39,63,72,B,65
std-547,male,group D,high school,1,1,49,79,83,B,67.75
std-548,male,group C,some college,1,1,89,84,45,B,67.25
std-549,male,group B,master's degree,1,0,27,80,27,C,50.75
std-550,male,group C,some high school,0,1,27,69,64,C,58.25
std-551,male,group D,associate's degree,0,0,42,55,100,B,72.5
std-552,male,group B,some college,0,0,36,72,100,B,70.25
std-553,male,group C,high school,1,0,53,23,51,D,45
std-554,male,group B,some high school,0,1,100,66,82,B,73.25
std-555,male,group C,some college,0,0,43,100,38,B,63.25
std-556,male,group A,high school,1,0,72,83,92,B,71.75
std-557,male,group E,bachelor's degree,1,0,43,82,72,B,74.25
std-558,male,group D,some high school,0,0,68,92,66,B,77.25
std-559,male,group E,master's degree,0,0,52,80,49,C,52
std-560,male,group D,bachelor's degree,0,1,100,72,55,B,79.5
std-561,male,group C,master's degree,1,0,62,68,55,C,59.5
std-562,male,group C,some college,1,0,34,47,42,D,43.5
std-563,male,group E,associate's degree,1,0,62,56,31,C,58
std-564,male,group D,some college,1,1,31,68,54,C,51
std-565,male,group C,some college,1,0,55,96,75,B,74.5
std-566,male,group D,some college,0,0,83,100,86,A,90.75
std-567,male,group A,some high school,0,0,25,81,71,C,58.25
std-568,male,group B,master's degree,1,0,22,41,48,C,52.75
std-569,male,group B,bachelor's degree,1,1,49,60,9,D,46.25
std-570,male,group D,some college,1,0,97,71,87,B,77.5
std-571,male,group D,high school,1,0,70,100,48,B,70.25
std-572,male,group C,bachelor's degree,1,0,25,66,70,D,45.75
std-573,male,group D,master's degree,0,0,78,91,100,B,77.75
std-574,male,group B,some high school,1,1,58,100,88,A,85.25
std-575,male,group D,some college,0,1,0,86,82,C,54
std-576,male,group B,some college,1,1,51,76,81,B,66.5
std-577,male,group E,some high school,1,1,45,87,59,B,72.75
std-578,male,group C,associate's degree,0,1,23,49,44,C,53.25
std-579,male,group B,high school,0,0,100,74,74,B,69.75
std-580,male,group C,high school,1,0,40,65,67,C,58.25
std-581,male,group E,bachelor's degree,1,0,30,89,42,C,55.75
std-582,male,group B,some college,1,1,30,61,51,C,53.75
std-583,male,group C,high school,1,0,53,52,69,C,60.5
std-584,male,group B,bachelor's degree,0,1,66,88,45,B,71.25
std-585,male,group C,master's degree,1,1,56,56,46,C,53.75
std-586,male,group E,some high school,1,0,33,85,96,B,73
std-587,male,group D,associate's degree,0,0,11,54,52,D,49
std-588,male,group B,associate's degree,1,0,70,77,48,B,71.75
std-589,male,group B,some college,0,1,18,70,39,D,42.25
std-590,male,group C,high school,1,0,67,85,99,A,87.75
std-591,male,group C,high school,1,1,18,44,65,D,49.25
std-592,male,group C,high school,0,1,72,92,52,B,78.25
std-593,male,group C,bachelor's degree,1,0,68,69,86,B,67.75
std-594,male,group B,bachelor's degree,1,0,72,100,88,B,79.5
std-595,male,group C,master's degree,1,0,93,77,36,B,73.75
std-596,male,group B,some college,1,1,47,100,58,B,69.25
std-597,male,group B,high school,1,1,39,44,96,C,53.5
std-598,male,group D,some high school,1,1,33,80,74,B,70
std-599,male,group B,some college,1,0,50,78,79,B,76
std-600,male,group D,associate's degree,1,0,32,61,69,C,61
std-601,male,group C,associate's degree,0,0,70,85,42,B,71
std-602,male,group E,associate's degree,0,0,33,54,14,D,47
std-603,male,group D,associate's degree,0,1,29,81,76,B,65.75
std-604,male,group B,some high school,0,0,61,33,80,B,63.75
std-605,male,group B,master's degree,1,1,50,34,60,D,40.25
std-606,male,group B,high school,1,0,36,66,59,C,60
std-607,male,group E,bachelor's degree,0,0,70,76,42,C,56.25
std-608,male,group E,high school,0,0,46,73,80,B,70.75
std-609,male,group B,bachelor's degree,1,1,48,47,58,C,58.25
std-610,male,group A,associate's degree,0,0,74,35,77,B,68.25
std-611,male,group D,high school,0,0,90,96,37,B,73.25
std-612,male,group E,bachelor's degree,1,0,24,93,35,C,54.25
std-613,male,group A,some college,1,1,12,76,66,D,47
std-614,male,group C,associate's degree,1,0,85,74,58,B,73.25
std-615,male,group E,high school,1,0,50,76,77,C,61
std-616,male,group D,bachelor's degree,1,0,24,100,39,C,55.25
std-617,male,group D,master's degree,0,0,29,51,65,C,59
std-618,male,group C,some college,1,1,26,55,54,D,47.5
std-619,male,group C,bachelor's degree,1,1,98,90,100,A,87
std-620,male,group C,some high school,1,1,48,63,57,C,58.25
std-621,male,group C,high school,0,0,86,95,90,A,89.5
std-622,male,group B,some college,0,0,81,100,65,A,86.5
std-623,male,group D,high school,0,1,29,45,35,D,47
std-624,male,group A,some high school,0,0,35,95,67,B,65.75
std-625,male,group D,some college,1,0,59,43,72,C,56.25
std-626,male,group C,some high school,1,0,90,94,38,B,76.75
std-627,male,group C,bachelor's degree,1,0,96,78,76,B,71.5
std-628,male,group D,high school,0,1,27,100,10,C,54.25
std-629,male,group B,bachelor's degree,1,0,19,61,56,D,45
std-630,male,group B,associate's degree,1,1,76,89,96,A,81.75
std-631,male,group C,some high school,0,0,78,28,44,D,47
std-632,male,group E,master's degree,1,0,48,81,15,C,55.25
std-633,male,group C,some high school,1,1,40,54,28,C,52
std-634,male,group D,some high school,1,0,63,85,55,B,70.5
std-635,male,group D,some high school,0,0,41,81,72,B,67.5
std-636,male,group E,bachelor's degree,1,1,24,59,36,D,42
std-637,male,group D,associate's degree,0,0,42,94,82,B,72
std-638,male,group D,some high school,1,1,100,38,59,C,59.25
std-639,male,group E,high school,0,1,78,81,50,C,61
std-640,male,group C,high school,1,1,100,38,29,C,57
std-641,male,group B,high school,1,1,52,44,65,C,52.5
std-642,male,group B,some college,1,1,69,61,36,C,53.75
std-643,male,group C,high school,1,0,43,71,43,C,57.25
std-644,male,group E,some high school,0,0,79,69,77,B,75
std-645,male,group E,associate's degree,0,1,66,73,100,A,83.25
std-646,male,,some college,1,0,68,89,96,A,88.25
std-647,male,group C,,0,1,50,87,100,B,79.75
std-648,male,group D,high school,,0,49,79,75,B,72.75
std-649,male,group D,associate's degree,0,,34,100,80,B,70
std-650,male,group D,high school,1,0,,54,75,C,61.5
std-651,male,group B,high school,0,0,28,90,82,B,65
std-652,male,group C,bachelor's degree,1,0,83,,100,B,70.25
std-653,male,group D,some college,1,0,38,68,,C,57
std-654,male,group B,some high school,1,1,96,72,95,A,
std-655,male,group C,some college,1,0,21,79,100,B,75
std-656,male,group C,some high school,1,1,69,71,86,A,81.5
std-657,male,group D,associate's degree,0,0,68,89,76,A,82.75
std-658,male,group D,high school,1,0,20,87,60,C,60.25
std-659,male,group D,high school,1,1,54,82,66,B,62.5
std-660,male,group D,master's degree,0,0,16,54,64,C,51.5
std-661,male,group A,bachelor's degree,1,0,47,63,69,B,67.5
std-662,male,group C,some college,1,0,35,62,83,B,70
std-663,male,group C,some high school,0,0,49,95,37,C,62
std-664,male,group A,some college,0,0,35,48,75,C,56.75
std-665,male,group D,high school,0,1,91,50,86,B,68.25
std-666,male,group D,bachelor's degree,0,0,31,89,55,B,62.75
std-667,male,group C,high school,1,0,25,53,59,D,47.5
std-668,male,group D,high school,1,0,43,59,45,C,55.5
std-669,male,group E,some high school,1,0,86,54,55,B,73.75
std-670,male,group E,bachelor's degree,1,0,40,100,43,B,68.5
std-671,male,group E,high school,1,0,39,68,66,B,64.5
std-672,male,group D,high school,0,0,43,63,41,D,49
std-673,male,group D,associate's degree,0,1,21,52,49,D,43.5
std-674,male,group C,bachelor's degree,1,1,67,85,69,B,74.75
std-675,male,group D,high school,1,0,14,48,44,D,48.75
std-676,male,group D,some college,0,1,29,66,66,C,56.5
std-677,male,group C,bachelor's degree,0,0,94,82,51,B,75
std-678,male,group E,some college,1,0,33,84,62,C,59.25
std-679,male,group B,master's degree,0,0,35,53,64,C,57
std-680,male,group C,bachelor's degree,0,0,49,48,56,C,57
std-681,male,group D,some high school,0,1,56,70,80,B,70.25
std-682,male,group E,high school,0,0,42,64,88,B,69.5
std-683,male,group C,master's degree,1,1,57,57,49,C,52.75
std-684,male,group D,some college,1,0,98,70,15,C,50
std-685,male,group C,some college,0,1,73,66,49,B,71.75
std-686,male,group C,associate's degree,1,0,47,71,92,B,70
std-687,male,group E,associate's degree,1,0,64,35,95,B,68.5
std-688,male,group E,some college,0,0,16,58,53,D,42.25
std-689,male,group B,associate's degree,1,0,98,78,61,B,75
std-690,male,group A,some high school,1,0,62,39,46,C,50.75
std-691,male,group B,some college,0,0,32,74,55,C,58.5
std-692,male,group B,some college,0,0,48,67,21,C,53
std-693,male,group D,some high school,1,1,57,30,57,D,47.75
std-694,male,group A,bachelor's degree,1,0,33,57,48,C,50
std-695,male,group C,some college,1,1,59,86,76,B,78.75
std-696,male,group C,some college,1,0,52,49,68,B,67.25
std-697,male,group C,some college,1,0,44,77,18,C,54.5
std-698,male,group A,associate's degree,1,1,49,73,68,B,69.5
std-699,male,group C,associate's degree,0,1,20,83,35,D,47.75
std-700,male,group A,associate's degree,1,0,21,56,38,D,44.25
std-701,male,group E,some college,0,0,51,76,99,A,81.25
std-702,male,group D,master's degree,0,0,51,48,63,C,56.75
std-703,male,group D,bachelor's degree,1,0,28,56,69,C,51
std-704,male,group D,master's degree,1,0,62,88,77,A,81.75
std-705,male,group D,some high school,1,0,63,74,90,B,75.5
std-706,male,group D,some college,1,0,30,52,37,D,43.25
std-707,male,group D,some college,1,0,89,60,53,B,64.5
std-708,male,group A,bachelor's degree,0,0,56,58,71,C,61.75
std-709,male,group D,some high school,0,0,30,40,100,C,56
std-710,male,group C,bachelor's degree,1,0,69,70,56,B,65.75
std-711,male,group D,associate's degree,1,0,20,62,52,C,58.5
std-712,male,group D,bachelor's degree,1,0,59,43,99,B,72
std-713,male,group D,high school,1,1,58,49,100,B,76.75
std-714,male,group C,master's degree,0,1,66,59,51,C,62
std-715,male,group C,some high school,0,0,73,58,53,C,61
std-716,male,group C,high school,0,1,79,36,53,C,53
std-717,male,group C,high school,1,0,62,68,81,B,67
std-718,male,group D,associate's degree,1,0,89,72,68,A,80.5
std-719,male,group D,associate's degree,0,0,76,84,78,A,81.25
std-720,male,group A,associate's degree,1,0,30,64,48,C,60.5
std-721,male,group C,associate's degree,1,0,22,92,67,B,69.75
std-722,male,group D,some college,1,0,100,80,58,A,81.5
std-723,male,group B,high school,1,0,69,90,100,A,88.25
std-724,male,group C,associate's degree,1,0,91,88,31,B,71
std-725,male,group B,bachelor's degree,1,1,61,51,49,C,51.5
std-726,male,group D,associate's degree,1,0,63,58,75,B,66.5
std-727,male,group C,some college,1,0,52,36,53,D,43.5
std-728,male,group D,some college,1,0,81,55,76,B,72
std-729,male,group E,high school,1,1,26,23,83,C,54
std-730,male,group A,associate's degree,1,0,78,10,83,D,47
std-731,male,group E,associate's degree,1,1,51,95,87,B,77.5
std-732,male,group D,some high school,0,0,23,48,50,D,43.25
std-733,male,group C,some college,0,0,46,80,64,C,58.5
std-734,male,group B,high school,0,0,35,78,36,D,45.75
std-735,male,group D,associate's degree,0,0,28,64,68,C,55.25
std-736,male,group D,associate's degree,1,1,80,80,40,B,71.5
std-737,male,group A,high school,1,1,33,59,86,B,69.5
std-738,male,group E,bachelor's degree,1,0,42,74,78,C,59.25
std-739,male,group E,some college,0,0,24,45,92,C,58.5
std-740,male,group A,some college,1,0,97,67,100,A,83
std-741,male,group A,associate's degree,1,0,33,34,85,C,55.25
std-742,male,group B,some high school,0,0,80,76,85,B,78.5
std-743,male,group B,some college,0,1,22,66,60,C,57.25
std-744,male,group D,associate's degree,1,0,37,74,45,C,56.75
std-745,male,group C,master's degree,0,1,75,68,97,A,84.75
std-746,male,group D,high school,0,0,57,88,55,B,64.75
std-747,male,group D,some college,1,1,72,72,9,C,54.75
std-748,male,group C,high school,1,1,73,100,60,B,73.5
std-749,male,group C,bachelor's degree,0,0,100,71,56,B,79.25
std-750,male,group C,high school,0,0,100,97,71,A,89.75
std-751,male,group B,bachelor's degree,0,0,17,68,59,C,52.75
std-752,male,group C,some high school,1,1,65,70,100,A,80.25
std-753,male,group B,associate's degree,1,0,91,94,83,A,86
std-754,male,group A,high school,0,0,23,35,64,D,47.75
std-755,male,group C,bachelor's degree,1,0,38,30,71,C,56.5
std-756,male,group E,associate's degree,0,0,45,52,26,D,48
std-757,male,group C,some college,1,1,38,71,60,B,67.25
std-758,male,group E,bachelor's degree,1,0,84,73,59,B,78
std-759,male,group E,some high school,1,1,30,50,74,C,56.25
std-760,male,group D,bachelor's degree,1,1,27,51,69,C,51.25
std-761,male,group D,some high school,0,0,67,58,81,B,74.75
std-762,male,group C,some high school,0,1,56,79,91,B,71.75
std-763,male,group C,bachelor's degree,0,1,62,98,60,B,78.5
std-764,male,group C,some high school,1,0,8,81,54,D,48.75
std-765,male,group E,some high school,0,1,33,25,58,C,53.25
std-766,male,group B,bachelor's degree,1,1,77,70,89,B,79.25
std-767,male,group B,bachelor's degree,1,0,69,73,88,A,80.75
std-768,male,group B,some high school,1,0,87,,,B,66.5
std-769,male,group C,some high school,0,0,49,57,49,B,63.75
std-770,male,group B,some college,1,,85,82,53,B,71.25
std-771,male,group C,bachelor's degree,,0,48,71,54,B,67.25
std-772,male,group A,,1,1,49,88,87,B,68.25
std-773,male,,some college,1,1,52,53,100,C,55.5
std-774,,group B,high school,0,0,33,69,54,C,56.75
std-775,male,group D,high school,1,0,57,76,45,B,68
std-776,male,group E,some high school,0,1,13,96,66,C,54.75
std-777,male,group E,high school,0,1,68,87,61,B,74.75
std-778,male,group D,some college,1,1,37,71,29,D,48.5
std-779,male,group D,some college,1,1,31,87,82,B,75
std-780,male,group C,associate's degree,0,1,81,76,81,A,82.25
std-781,male,group C,high school,1,0,57,59,84,B,74.25
std-782,male,group D,some high school,1,1,71,80,88,A,82.75
std-783,male,group D,bachelor's degree,1,1,17,84,72,C,61.25
std-784,male,group E,some college,0,0,44,59,77,B,64.25
std-785,male,group B,bachelor's degree,1,0,30,33,9,Fail,22.25
